City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
118,cherskiy,20,RU,1543290296,0,68.75,161.3,-32.73,3.04
119,ballina,76,IE,1543290296,100,54.11,-9.15,40.49,25.86
120,pisco,90,PE,1543287600,88,-13.71,-76.2,66.2,13.87
121,bom jesus,92,BR,1543290297,61,-9.08,-44.36,80.18,11.1
122,vanimo,12,PG,1543290297,100,-2.67,141.3,83.37,7.74
123,teno,0,CL,1543287600,45,-34.87,-71.16,66.2,6.93
124,zhezkazgan,75,KZ,1543287600,92,47.8,67.71,6.8,6.71
125,la ronge,90,CA,1543287600,78,55.1,-105.3,14.0,9.17
126,sawtell,44,AU,1543287600,61,-30.38,153.1,77.0,21.92
127,castro,0,CL,1543290299,87,-42.48,-73.76,47.64,7.07
128,college,75,US,1543287480,98,64.86,-147.8,23.36,6.62
129,sirjan,0,IR,1543290300,75,29.44,55.67,30.14,2.93
130,coihaique,0,CL,1543287600,87,-45.58,-72.07,42.8,1.12
131,nemuro,20,JP,1543287600,50,43.32,145.57,51.8,17.22
132,zlitan,0,LY,1543290302,83,32.47,14.57,56.51,11.21
133,emba,75,CY,1543289400,77,34.81,32.42,60.8,8.05
134,puerto escondido,20,MX,1543290303,100,15.86,-97.07,82.02,3.6
135,cidreira,24,BR,1543290303,75,-30.17,-50.22,65.1,13.0
136,luanda,75,AO,1543287600,83,-8.83,13.24,77.0,2.24
137,new norfolk,75,AU,1543287600,72,-42.78,147.06,60.8,11.41
138,abilene,1,US,1543288500,69,32.45,-99.73,41.0,6.93
139,nabire,88,ID,1543290305,100,-3.36,135.5,74.24,2.71
140,havre,75,US,1543287180,100,48.55,-109.68,26.06,4.72
141,mehamn,56,NO,1543290305,100,71.03,27.85,21.72,3.6
142,zhigalovo,32,RU,1543290306,51,54.81,105.15,3.45,2.59
143,tateyama,20,JP,1543287600,45,36.66,137.31,64.4,9.17
144,sherbrooke,1,CA,1543288500,64,45.4,-71.89,33.8,12.75
145,ostersund,0,SE,1543288800,85,63.18,14.64,23.0,9.17
146,mgandu,0,TZ,1543290307,82,-5.96,34.11,62.9,8.41
147,najran,0,SA,1543290307,89,17.54,44.22,49.58,2.59
148,lorengau,32,PG,1543290307,100,-2.02,147.27,83.78,11.1
149,los llanos de aridane,56,ES,1543290308,100,28.66,-17.92,66.0,5.84
150,traverse city,90,US,1543288560,75,44.76,-85.62,30.02,5.82
151,tingi,12,TZ,1543290308,100,-11.3,35.03,77.48,9.64
152,vao,44,EE,1543290309,81,59.1,26.19,29.82,10.2
153,nanortalik,0,GL,1543290309,85,60.14,-45.24,30.59,3.04
154,murray bridge,76,AU,1543290309,87,-35.12,139.28,63.53,14.56
155,ola,12,RU,1543287600,50,59.58,151.3,5.0,8.95
156,airai,100,TL,1543290310,93,-8.93,125.41,75.86,1.59
157,shimoda,20,JP,1543287600,77,34.7,138.93,64.4,2.24
158,menongue,48,AO,1543290311,98,-14.66,17.68,62.36,3.15
159,soyo,8,AO,1543290311,96,-6.13,12.37,73.34,2.82
160,east london,75,ZA,1543287600,94,-33.02,27.91,68.0,5.82
161,victoria,75,BN,1543287600,79,5.28,115.24,84.2,5.82
162,saint-junien,90,FR,1543289400,100,45.89,0.9,37.4,4.7
163,alakurtti,0,RU,1543290313,77,66.96,30.34,6.42,2.37
164,san policarpo,92,PH,1543290316,92,12.18,125.51,81.98,12.77
165,port hardy,90,CA,1543287600,93,50.7,-127.42,48.2,18.34
166,itarema,80,BR,1543290317,88,-2.92,-39.92,78.69,13.67
167,alice springs,0,AU,1543287600,30,-23.7,133.88,86.0,10.29
168,waterloo,90,CA,1543287600,99,43.47,-80.52,35.6,17.22
169,fortuna,0,ES,1543289400,57,38.18,-1.13,55.4,9.17
170,vavoua,8,CI,1543290319,96,7.38,-6.48,71.81,2.59
171,chuy,88,UY,1543290319,86,-33.69,-53.46,63.3,10.2
172,saint anthony,20,US,1543287360,74,43.97,-111.68,26.96,4.7
173,north augusta,90,CA,1543288500,97,44.76,-75.74,37.58,5.82
174,sao felix do xingu,92,BR,1543290320,100,-6.64,-51.99,71.22,1.7
175,yagodnoye,56,RU,1543290341,72,62.52,149.63,-18.29,2.48
176,inzhavino,76,RU,1543290341,90,52.33,42.5,19.16,3.15
177,dibrugarh,0,IN,1543287600,72,27.48,94.9,68.0,4.7
178,saint george,40,GR,1543287000,76,39.45,22.34,57.2,2.24
179,salinopolis,92,BR,1543290342,92,-0.61,-47.36,82.7,14.45
180,sibolga,0,ID,1543290343,89,1.74,98.78,77.12,1.36
181,sabang,88,PH,1543290343,91,13.72,123.58,79.82,9.64
182,padang,24,ID,1543290346,100,-0.92,100.36,80.09,2.93
183,hualmay,20,PE,1543290347,96,-11.1,-77.61,56.87,4.72
184,darnah,0,LY,1543290347,100,32.77,22.64,69.65,9.42
185,great yarmouth,92,GB,1543288800,100,52.61,1.73,35.6,1.12
186,kapaa,40,US,1543287780,71,22.08,-159.32,78.98,13.87
187,port lincoln,12,AU,1543290349,96,-34.72,135.86,61.46,15.79
188,ambagarh chauki,0,IN,1543290349,61,20.78,80.75,67.04,6.4
189,bitung,40,ID,1543289400,83,1.44,125.19,80.6,9.17
190,genhe,76,CN,1543290350,50,50.78,121.52,2.78,17.13
191,seydi,0,NE,1543290350,55,13.34,7.75,57.0,4.61
192,chara,40,GR,1543287000,76,39.42,22.43,57.2,2.24
193,richards bay,80,ZA,1543290351,94,-28.77,32.06,70.82,2.93
194,rivadavia,88,AR,1543290351,86,-31.53,-68.59,65.55,4.94
195,hirara,20,JP,1543287600,69,24.8,125.28,78.8,12.75
196,niamey,32,NE,1543287600,24,13.52,2.11,71.6,3.36
197,russell,75,AR,1543287600,73,-33.01,-68.8,69.8,9.17
198,tucurui,68,BR,1543290353,98,-3.77,-49.67,74.42,2.15
199,dandong,0,CN,1543290353,46,40.12,124.37,43.32,7.18
200,zhuhai,0,CN,1543287600,25,40.71,112.04,26.6,4.47
201,vila franca do campo,75,PT,1543287600,88,37.72,-25.43,64.4,18.34
202,umm kaddadah,0,SD,1543290354,33,13.6,26.69,55.74,10.76
203,san quintin,20,PH,1543287600,62,17.54,120.52,86.0,6.93
204,moyale,8,ET,1543290355,94,3.52,39.05,63.75,2.71
205,linxia,0,CN,1543290169,42,35.6,103.21,34.05,2.93
206,ferme-neuve,92,CA,1543290356,98,46.7,-75.45,34.37,8.08
207,aligudarz,64,IR,1543290359,80,33.4,49.69,18.84,2.71
208,rasra,0,IN,1543290359,83,25.86,83.86,66.45,3.71
209,port elizabeth,90,US,1543289340,76,39.31,-74.98,48.92,16.11
210,harper,1,US,1543288500,72,30.3,-99.24,41.0,2.93
211,kiama,40,AU,1543287600,56,-34.67,150.86,73.4,13.87
212,alofi,75,NU,1543287600,66,-19.06,-169.92,86.0,6.93
213,maragogi,92,BR,1543290282,99,-9.01,-35.22,73.29,7.29
214,fonte boa,64,BR,1543290361,97,-2.51,-66.09,76.22,3.27
215,yaring,75,TH,1543287600,66,6.87,101.37,87.8,6.93
216,riyadh,0,SA,1543287600,93,24.63,46.72,51.8,2.93
217,along,0,IN,1543290362,49,28.17,94.8,60.56,2.04
218,makokou,80,GA,1543290362,100,0.56,12.85,69.2,1.92
219,mali,0,CN,1543290362,54,27.53,102.2,49.67,1.48
220,meulaboh,8,ID,1543290363,100,4.14,96.13,80.63,3.38
221,zhireken,68,RU,1543290363,44,52.82,117.29,6.29,9.75
222,anadyr,40,RU,1543287600,76,64.73,177.51,-11.21,13.42
223,raton,1,US,1543287240,40,36.9,-104.44,35.96,5.82
224,vardo,75,US,1543288500,59,39.62,-77.74,42.8,9.17
225,vestmanna,76,FO,1543288800,86,62.16,-7.17,37.4,12.75
226,tupik,56,RU,1543290365,43,54.43,119.94,-2.09,8.75
227,san jose,32,PH,1543290072,75,15.79,120.99,81.98,2.82
228,rundu,8,NA,1543290366,88,-17.91,19.77,65.96,6.06
229,mardin,75,TR,1543287600,93,37.32,40.72,51.8,5.82
230,kavaratti,0,IN,1543290367,100,10.57,72.64,83.78,5.73
231,yaan,80,NG,1543290367,51,7.38,8.57,80.54,5.95
232,lompoc,40,US,1543289700,87,34.64,-120.46,59.0,5.73
233,muisne,100,EC,1543290368,98,0.61,-80.02,72.08,4.05
234,tymovskoye,80,RU,1543290368,91,50.85,142.66,32.97,6.51
235,high level,90,CA,1543287600,100,58.52,-117.13,24.8,9.17
236,port keats,0,AU,1543290369,78,-14.25,129.55,90.71,9.19
237,ahipara,68,NZ,1543290369,87,-35.17,173.16,66.05,6.17
238,saint-pierre,90,FR,1543289400,93,48.95,4.24,42.8,3.36
239,taoudenni,68,ML,1543290371,35,22.68,-3.98,59.39,11.1
240,narsaq,0,GL,1543287000,42,60.91,-46.05,28.4,4.05
241,wanning,75,AT,1543287000,100,48.64,13.53,33.8,4.7
242,touros,92,BR,1543290372,90,-5.2,-35.46,78.56,15.12
243,inowroclaw,90,PL,1543289400,92,52.8,18.26,26.6,3.36
244,tianpeng,0,CN,1543290373,87,28.88,112.34,62.94,5.73
245,faya,0,SA,1543287600,81,18.39,42.45,53.6,6.4
246,parfino,88,RU,1543290374,93,57.97,31.65,25.82,4.38
247,carnarvon,92,ZA,1543290374,27,-30.97,22.13,59.39,3.15
248,llanes,20,ES,1543290374,84,43.42,-4.75,29.24,2.59
249,manicore,68,BR,1543290375,98,-5.81,-61.3,73.43,1.92
250,grand-bourg,0,GP,1543289400,100,15.88,-61.31,69.8,13.78
251,murmashi,75,RU,1543287600,85,68.82,32.82,12.2,4.47
252,kenai,90,US,1543288080,90,60.55,-151.26,35.96,3.36
253,strezhevoy,90,RU,1543287600,76,60.73,77.6,-5.81,6.71
254,port antonio,20,JM,1543287600,69,18.18,-76.45,80.6,4.7
255,kocevje,75,SI,1543289400,66,45.64,14.86,50.0,2.24
256,tolyatti,75,RU,1543287600,92,53.52,49.41,23.0,2.24
257,presque isle,90,US,1543287360,88,46.68,-68.02,30.92,4.7
258,pangody,48,RU,1543290377,30,65.85,74.49,-20.36,8.3
259,manta,76,RO,1543290377,100,45.1,24.1,37.79,2.26
260,alyangula,12,AU,1543290378,84,-13.85,136.42,90.44,6.62
261,coquimbo,0,CL,1543287600,87,-29.95,-71.34,57.2,5.61
262,remontnoye,76,RU,1543287600,100,46.56,43.66,30.2,13.42
263,muravlenko,68,RU,1543290379,77,63.79,74.5,-12.03,8.97
264,phan thiet,8,VN,1543290379,97,10.93,108.1,81.12,6.4
265,presidencia roque saenz pena,88,AR,1543290379,67,-26.79,-60.44,75.05,10.2
266,korhogo,20,CI,1543290380,79,9.46,-5.63,72.98,5.39
267,karratha,0,AU,1543290380,12,-20.74,116.85,98.22,5.5
268,ranong,40,TH,1543287600,74,9.96,98.62,84.2,2.24
269,xixiang,40,CN,1543287600,60,22.58,113.87,71.6,8.95
270,eydhafushi,68,MV,1543290381,100,5.1,73.07,82.88,10.65
271,nantucket,90,US,1543288500,92,41.28,-70.1,46.94,25.28
272,gimli,20,CA,1543290244,79,50.63,-96.99,6.38,10.31
273,la paz,40,MX,1543286520,64,24.15,-110.32,71.6,6.93
274,ahuimanu,75,US,1543289820,87,21.44,-157.84,80.96,6.93
275,lensk,12,RU,1543290382,48,60.71,114.91,-30.26,2.37
276,asmar,92,AF,1543290382,46,35.03,71.36,49.35,2.26
277,santa isabel do rio negro,68,BR,1543290383,97,-0.41,-65.02,76.31,2.48
278,ilulissat,48,GL,1543287000,79,69.22,-51.1,19.4,1.14
279,datong,0,CN,1543290383,32,40.09,113.3,27.12,6.17
280,aden,8,YE,1543290384,100,12.79,45.03,78.69,12.44
281,morondava,0,MG,1543290384,98,-20.3,44.28,75.5,2.93
282,ritchie,0,ZA,1543287600,72,-29.03,24.6,64.4,8.05
283,moranbah,32,AU,1543290385,15,-22.0,148.04,101.51,9.75
284,cartagena,0,ES,1543289400,54,37.63,-1.0,55.4,6.93
285,verkhnyaya inta,48,RU,1543290389,60,65.99,60.32,1.16,4.16
286,shevchenkove,90,UA,1543287600,100,49.7,37.18,28.4,11.18
287,santa cruz,1,US,1543289700,77,36.97,-122.03,60.08,1.81
288,hermosillo,75,MX,1543286400,40,29.09,-110.96,71.6,6.93
289,arraial do cabo,88,BR,1543290391,100,-22.97,-42.02,71.49,9.64
290,flinders,40,AU,1543287600,56,-34.58,150.85,73.4,13.87
291,aykhal,0,RU,1543290346,0,65.95,111.51,-32.55,2.71
292,garden city,90,US,1543288620,100,40.73,-73.63,53.06,3.36
293,henties bay,92,NA,1543290393,100,-22.12,14.28,58.85,4.61
294,fairbanks,75,US,1543287480,98,64.84,-147.72,23.36,6.62
295,kangaatsiaq,44,GL,1543290393,100,68.31,-53.46,24.11,4.94
296,angoche,12,MZ,1543290393,100,-16.23,39.91,79.1,6.62
297,pevek,64,RU,1543290394,100,69.7,170.27,-1.86,10.76
298,kabanjahe,40,ID,1543287600,74,3.1,98.49,82.4,6.93
299,christiana,88,ZA,1543290395,85,-27.91,25.16,62.9,2.82
300,umm lajj,48,SA,1543290395,96,25.02,37.27,68.52,9.31
301,kalmunai,68,LK,1543290395,100,7.42,81.82,76.35,5.28
302,zhanakorgan,92,KZ,1543290396,95,43.91,67.25,24.92,4.61
303,cabedelo,40,BR,1543287600,88,-6.97,-34.84,77.0,6.93
304,luwuk,12,ID,1543290396,82,-0.95,122.79,84.95,2.26
305,lima,8,PE,1543290309,69,-12.06,-77.04,53.45,2.48
306,hamilton,90,CA,1543287600,93,43.26,-79.87,37.4,12.75
307,tabou,92,CI,1543290397,100,4.42,-7.36,79.59,1.59
308,torres,88,BR,1543290398,96,-29.34,-49.73,65.96,7.74
309,kijang,0,KR,1543287600,51,35.24,129.21,59.0,4.7
310,youkounkoun,76,GN,1543290398,54,12.53,-13.12,69.29,7.18
311,sur,0,OM,1543290398,100,22.57,59.53,75.09,3.49
312,bassano,20,CA,1543290399,74,50.79,-112.47,15.2,3.15
313,hauterive,90,FR,1543289400,70,46.09,3.45,42.8,10.29
314,oni,36,GE,1543290400,68,42.59,43.44,16.82,1.81
315,moctezuma,68,MX,1543290400,63,29.81,-109.68,51.02,1.92
316,bartica,75,GY,1543287600,100,6.41,-58.62,75.2,9.17
317,hobyo,92,SO,1543290401,94,5.35,48.53,77.52,8.08
318,areka,36,ET,1543290401,86,7.07,37.71,57.32,6.17
319,khatanga,0,RU,1543290401,0,71.98,102.47,-32.24,5.61
320,zalantun,48,CN,1543290402,25,48.0,122.72,20.1,15.12
321,mont-de-marsan,0,FR,1543289400,100,43.89,-0.5,41.0,2.24
322,penzance,75,GB,1543287000,93,50.12,-5.53,48.2,12.75
323,kisangani,68,CD,1543290402,100,0.52,25.21,71.63,1.81
324,maningrida,0,AU,1543290296,64,-12.05,134.23,92.1,15.01
325,kalbay,48,PH,1543290403,81,5.72,125.5,84.95,1.81
326,las vegas,40,US,1543288500,17,36.17,-115.15,53.6,2.26
327,grindavik,75,IS,1543289400,100,63.84,-22.43,37.4,14.99
328,katsuura,75,JP,1543287600,59,33.93,134.5,60.8,4.7
329,mount isa,75,AU,1543287600,25,-20.73,139.49,100.4,14.99
330,sinazongwe,68,ZM,1543290404,83,-17.26,27.46,76.31,3.38
331,husavik,20,CA,1543290405,79,50.56,-96.99,6.38,10.31
332,muros,40,ES,1543289400,87,42.77,-9.06,46.4,9.17
333,arawa,32,NG,1543290405,91,7.05,3.9,75.95,2.71
334,lashio,92,MM,1543290406,75,22.93,97.75,63.75,2.15
335,ferkessedougou,20,CI,1543290406,79,9.6,-5.2,72.98,5.39
336,grafing,90,DE,1543288800,99,48.05,11.97,32.0,2.24
337,gujranwala,40,PK,1543287600,82,32.15,74.19,57.2,4.7
338,tasiilaq,64,GL,1543287000,68,65.61,-37.64,26.6,3.36
339,soc trang,24,VN,1543290407,81,9.6,105.98,85.04,9.75
340,calama,0,CL,1543287600,29,-22.46,-68.93,50.0,8.05
341,comodoro rivadavia,0,AR,1543287600,54,-45.87,-67.48,57.2,1.12
342,bolivar,90,US,1543287120,65,37.61,-93.41,30.02,9.17
343,alta floresta,80,BR,1543290409,92,-9.87,-56.08,74.78,2.59
344,marsa matruh,0,EG,1543287600,82,31.35,27.25,55.4,7.4
345,kavieng,64,PG,1543290409,100,-2.57,150.8,84.86,11.99
346,turkan,20,AF,1543290409,100,35.6,68.92,25.91,1.92
347,nazilli,92,TR,1543290410,99,37.91,28.32,48.95,2.15
348,sitia,0,GR,1543290410,90,35.21,26.11,69.38,15.23
349,mount gambier,92,AU,1543290354,76,-37.83,140.78,61.5,6.4
350,zhangye,0,CN,1543290410,47,38.94,100.46,30.09,5.73
351,shaowu,0,CN,1543290411,58,27.34,117.49,62.22,2.15
352,pascagoula,1,US,1543289700,65,30.37,-88.56,45.14,8.05
353,port-gentil,12,GA,1543290412,100,-0.72,8.78,78.11,5.61
354,mathathane,32,BW,1543290412,73,-22.27,28.75,72.39,8.63
355,valera,8,VE,1543290413,96,9.31,-70.61,75.59,2.15
356,sambava,32,MG,1543290413,100,-14.27,50.17,76.44,12.66
357,langarud,0,IR,1543287600,100,37.2,50.15,48.2,7.29
358,ostrovnoy,44,RU,1543290413,80,68.05,39.51,23.79,13.67
359,maniitsoq,0,GL,1543290414,90,65.42,-52.9,25.64,9.75
360,hami,0,CN,1543290414,57,42.84,93.51,20.42,3.94
361,samarai,0,PG,1543290414,97,-10.62,150.67,85.44,2.15
362,chaoyang,0,CN,1543290414,45,41.58,120.44,34.91,12.77
363,sisimiut,36,GL,1543290415,97,66.94,-53.67,9.26,1.59
364,ambilobe,12,MG,1543290415,85,-13.19,49.05,68.48,4.94
365,guerrero negro,0,MX,1543290415,58,27.97,-114.04,63.75,9.53
366,bati,0,ET,1543290416,86,11.19,40.02,61.32,2.59
367,talnakh,12,RU,1543290416,27,69.49,88.39,-18.74,2.71
368,sakskobing,0,DK,1543290417,100,54.8,11.63,35.36,11.43
369,yangambi,92,CD,1543290417,100,0.77,24.47,71.09,2.37
370,bilma,0,NE,1543290417,48,18.69,12.92,50.07,2.82
371,nador,44,MA,1543289400,67,35.17,-2.93,57.2,8.05
372,itaiba,88,BR,1543290418,77,-8.95,-37.42,72.75,8.52
373,kungurtug,64,RU,1543290418,57,50.6,97.53,3.86,2.37
374,porto seguro,90,BR,1543287600,94,-16.44,-39.06,73.4,3.36
375,kostroma,68,RU,1543290419,83,57.77,40.93,12.86,8.63
376,luderitz,0,NA,1543290419,91,-26.65,15.16,55.7,13.22
377,kommunisticheskiy,76,RU,1543290419,83,61.68,64.48,5.34,5.73
378,tazovskiy,36,RU,1543290422,32,67.47,78.7,-21.48,5.5
379,tautira,75,PF,1543289400,78,-17.73,-149.15,82.4,4.7
380,sattahip,40,TH,1543287600,61,12.67,100.9,78.8,9.17
381,pilar,0,AR,1543287600,46,-34.46,-58.91,73.4,8.05
382,ceres,76,AR,1543290418,58,-29.88,-61.95,70.37,10.2
383,codrington,76,AU,1543290424,38,-28.95,153.24,84.27,6.73
384,broken hill,12,AU,1543290424,96,-31.97,141.45,66.68,9.86
385,orativ,92,UA,1543290424,99,49.19,29.53,31.8,16.35
386,davila,20,PH,1543287600,62,18.47,120.58,86.0,6.93
